Message,Subject,Date,URL
053/23,"2022 U.S. NAVY COUNTERINTELLIGENCE AND HUMAN INTELLIGENCE SUPERIOR ACHIEVEMENT AWARDS SOLICITATION ",02/24/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23053.txt?ver=iessWcswug4KIxhdTN1Uhw%3d%3d
054/23,"2022 EXPEDITIONARY WARFARE EXCELLENCE AWARDS (EWEA) SOLICITATION",02/24/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23054.txt?ver=8BoZCYVM6i0kMc-mswz5ng%3d%3d
055/23,"ENLISTED SUPERVISOR RETENTION PAY POLICY UPDATES  FACT SHEET",02/27/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23055.txt?ver=HsSTcXoXXK7nQeBUOJu-yQ%3d%3d
056/23,"OFFICER APPLICATIONS BEING ACCEPTED BY NAVY FLIGHT DEMONSTRATION SQUADRON (BLUE ANGELS) FOR 2024-2026 SHOW SEASONS",02/27/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23056.txt?ver=khk-KbbIgui1iFXlbbMzcQ%3d%3d
057/23,"2023 MRS. SYBIL STOCKDALE OMBUDSMAN OF THE YEAR AWARD NOMINATION AND SELECTION PROCESS",02/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23057.txt?ver=x4XuzmKaGjInZQnqxT00bg%3d%3d
058/23,"NAVY SUPPLEMENTAL GUIDANCE TO COMMAND NOTIFICATION OF PREGNANCY POLICY, ADMINISTRATIVE ABSENCE AND TRAVEL FOR NON-COVERED REPRODUCTIVE HEALTH CARE  FACT SHEET",02/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23058.txt?ver=Emj0dmMLefYpo8llktp8iQ%3d%3d
059/23,"NAVY MENTAL HEALTH PLAYBOOK AND 21ST CENTURY SAILOR OFFICE NAME CHANGE  FACT SHEET",02/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23059.txt?ver=rJnqm8WXsP_b4rp5UWz0hg%3d%3d
060/23,"GUIDANCE ON CLASSIFICATION PROCEDURES TO ENHANCE FOREIGN PARTNERSHIPS",03/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23060.txt?ver=nzpMLZojbbDv_gl2A5xnNQ%3d%3d
061/23,"READINESS BASED SPARING - INTERIM CHANGE (CORRECTED COPY)",03/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23061.txt?ver=1t3irIGmanbsOtrfclmHdg%3d%3d
062/23,"FISCAL YEAR 2023 TRAINING AND ADMINISTRATION OF THE RESERVE OFFICER IN-SERVICE PROCUREMENT PROGRAM BOARD",03/02/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23062.txt?ver=7WiXdqwa3xRj-MDx9Dq26A%3d%3d
063/23,"ANNOUNCEMENT OF APPROVAL OF THE ARMED FORCES SERVICE MEDAL (AFSM) FOR OPERATIONS ALLIES REFUGE (OAR) AND ALLIES WELCOME (OAW)",03/03/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23063.txt?ver=mon4dFlitSHNVKhMsGdnyw%3d%3d
064/23,"SKILLBRIDGE EMPLOYMENT SKILLS TRAINING GUIDANCE UPDATE  FACT SHEET",03/03/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23064.txt?ver=Y3LXOQQ9wdHMUhcDfhWCrg%3d%3d
065/23,"
   
FOLLOW ON COVID-19 VACCINE RESCISSION ACTIONS
   ",03/06/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23065.txt?ver=5D-VSbRc-Pt_Qjy8WecHeQ%3d%3d
066/23,"CALENDAR YEAR 2024 NAVY LEGISLATIVE FELLOWSHIP CALL FOR APPLICATIONS",03/07/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23066.txt?ver=my8S_OOjKNrD4kv9B4tSrQ%3d%3d
067/23,"RECOGNITION OF UNITS INVOLVED IN RETROGRADE OPERATION FROM AFGHANISTAN,

   OPERATION ALLIES REFUGE AND OPERATION ALLIES WELCOME

    ",03/13/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23067.txt?ver=34LZsAPXINJPqvaM5wyTnA%3d%3d
068/23,"NOTICE OF CONVENING FY-24-2 TEST PILOT SCHOOL SELECTION BOARD",03/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23068.txt?ver=6tU334cSyHIJEw0Y81tWzA%3d%3d
069/23,"SEA SERVICE AFFINITY GROUP ANNUAL CONFERENCES AND SYMPOSIUMS",03/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23069.txt?ver=KsxPVy0Wlv927ruAP1qteA%3d%3d
070/23,"FISCAL YEAR 2023 TRAINING AND ADMINISTRATION OF THE RESERVE AVIATION COMMAND RETENTION BONUS",03/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23070.txt?ver=tYZJt79NMJEu9tjDeT7a9w%3d%3d
071/23,"2023 BATTLE OF MIDWAY COMMEMORATION PLANNING ORDER",03/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23071.txt?ver=l-If1HFu1C6SKiyhWDGqBw%3d%3d
072/23,"CHIEF OF NAVAL OPERATIONS FY22FOURTH QUARTER GOLD DISK AWARDEES",03/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23072.txt?ver=RN_v8bwNk1fip5gz-YAzdA%3d%3d
073/23,"FY-24 ACTIVE-DUTY NAVY NUCLEAR LIMITED DUTY OFFICER IN SERVICE PROCUREMENT SELECTION BOARD RESULTS",03/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23073.txt?ver=-4tDil789rn3rxIMN7poWA%3d%3d
074/23,"ACADEMIC YEAR 2024 NURSE CORPS MEDICAL ENLISTED COMMISSIONING PROGRAM SELECTION BOARD  FACT SHEET",03/17/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23074.txt?ver=0BdLHGmR4aoDAxCqzarVfg%3d%3d
075/23,"FISCAL YEAR 2023 TRAINING AND ADMINISTRATION OF THE RESERVE AVIATION DEPARTMENT HEAD RETENTION BONUS",03/24/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23075.txt?ver=2knXhfI5MYRIodyFfCvvFw%3d%3d
076/23,"2023 NAVAL HISTORY AND HERITAGE COMMEMORATION - VIETNAM WAR",03/24/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23076.txt?ver=wxlGsy9J6ji6Q4TtstFElQ%3d%3d
077/23,"ACTIVE-DUTY PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER, LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND STAFF CORPS

    ",03/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23077.txt?ver=Bg9kEZjUfnikGUVBTiXkeg%3d%3d
078/23,"NAVY RESERVE PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER, LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND STAFF CORPS

    ",03/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23078.txt?ver=GzH5cWXKPz9ns0_LM8goLA%3d%3d
079/23,"UNNUMBERED NAVADMIN",03/28/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23079.txt?ver=OAoA-cDSEz4fFkneLsnQKg%3d%3d
080/23,"FY-24 NAVY ACTIVE AND RESERVE COMPONENT ENLISTED ADVANCEMENT SELECTION BOARDS FOR CHIEF PETTY OFFICER  FACT SHEET",03/30/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23080.txt?ver=iA0u-J1fMsRqYscyqGNpvA%3d%3d
081/23,"2023 BOB FELLER ACT OF VALOR AWARDS",03/31/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23081.txt?ver=9eVXHYC5XDEy6oIz2joTFg%3d%3d
082/23,"CHANGES TO SENIOR ENLISTED PERFORMANCE EVALUATION PROCESS",03/31/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23082.txt?ver=7Jg_5yw6bRsZE6Xp2Iwqpw%3d%3d
083/23,"ACADEMIC YEAR 2023-2024 NAVAL WAR COLLEGE FLEET SEMINAR PROGRAM",04/04/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23083.txt?ver=t97vLeidJIHZLVy-lPxtKw%3d%3d
084/23,"APPLICATION FOR ASSIGNMENT TO THE U.S. NAVY CEREMONIAL GUARD (CORRECTED COPY)",04/13/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23084.txt?ver=-UMJlUV_Q07IfM4oObQfCg%3d%3d
085/23,"FISCAL YEAR 2024 NAVY RESERVE E8 AND E9 ADVANCEMENT SELECTION BOARDS RESULTS",04/13/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23085.txt?ver=DQa9IaaQ4edUDtdzy-8NfA%3d%3d
086/23,"CY 2022 WINNER ANNOUNCEMENT FOR THE NAVY PUBLIC AFFAIRS AWARDS FOR EXCELLENCE IN NAVY PUBLIC AFFAIRS (CORRECTED COPY)",04/17/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23086.txt?ver=_K_oy8Q74y0NVqdfmPSP6w%3d%3d
087/23,"BATTLE OF MIDWAY COMMEMORATION EXECUTION ORDER",04/18/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23087.txt?ver=0fZZQ-uWbjX7gjsmet4AlA%3d%3d
088/23,"2022-23 MASTER CHIEF PETTY OFFICER OF THE NAVY DELBERT D. BLACK LEADERSHIP AWARD NOMINATIONS",04/18/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23088.txt?ver=zg9Lwue7PeUo6AAuiky2Iw%3d%3d
089/23,"FISCAL YEAR 2023 ACTIVE COMPONENT AVIATION DEPARTMENT HEAD RETENTION BONUS",04/19/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23089.txt?ver=fw2ZO7SjTrfImAsL27Ssjg%3d%3d
090/23,"SELECTEES FOR ACADEMIC YEAR 2023-2024 ADVANCED MILITARY VISUAL JOURNALISM TRAINING PROGRAM AT SYRACUSE UNIVERSITY ",04/20/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23090.txt?ver=C5snhzT0whsE98hRAelh4Q%3d%3d
091/23,"BEREAVEMENT LEAVE PROGRAM  FACT SHEET",04/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23091.txt?ver=63UPHt50VbHh3S5FogehgQ%3d%3d
092/23,"ATTENDANCE AT THE 2023 NAVY AND MARINE CORPS AIR TRAFFIC CONTROLLEADERSHIP TRAINING CONTINUUM",04/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23092.txt?ver=sB5BMlYNnv_1LqEh6h6HMA%3d%3d
